geoid,GEOID10,name,tract,B19013001,"B19013001, Error"
14000US53033000100,53033000100,"Census Tract 1, King, WA",Census Tract 1,55143,5847
14000US53033000200,53033000200,"Census Tract 2, King, WA",Census Tract 2,77463,11351
14000US53033000300,53033000300,"Census Tract 3, King, WA",Census Tract 3,100917,10408
14000US53033000401,53033000401,"Census Tract 4.01, King, WA",Census Tract 4.01,32877,5813
14000US53033000402,53033000402,"Census Tract 4.02, King, WA",Census Tract 4.02,72150,13709
14000US53033000500,53033000500,"Census Tract 5, King, WA",Census Tract 5,148906,17245
14000US53033000600,53033000600,"Census Tract 6, King, WA",Census Tract 6,77269,11592
14000US53033000700,53033000700,"Census Tract 7, King, WA",Census Tract 7,64310,11767
14000US53033000800,53033000800,"Census Tract 8, King, WA",Census Tract 8,102500,18804
14000US53033000900,53033000900,"Census Tract 9, King, WA",Census Tract 9,147750,17447
14000US53033001000,53033001000,"Census Tract 10, King, WA",Census Tract 10,110956,16093
14000US53033001100,53033001100,"Census Tract 11, King, WA",Census Tract 11,95573,18523
14000US53033001200,53033001200,"Census Tract 12, King, WA",Census Tract 12,51807,5796
14000US53033001300,53033001300,"Census Tract 13, King, WA",Census Tract 13,72850,16333
14000US53033001400,53033001400,"Census Tract 14, King, WA",Census Tract 14,93948,12930
14000US53033001500,53033001500,"Census Tract 15, King, WA",Census Tract 15,128059,13122
14000US53033001600,53033001600,"Census Tract 16, King, WA",Census Tract 16,143125,18783
14000US53033001701,53033001701,"Census Tract 17.01, King, WA",Census Tract 17.01,75162,4517
14000US53033001702,53033001702,"Census Tract 17.02, King, WA",Census Tract 17.02,93679,20360
14000US53033001800,53033001800,"Census Tract 18, King, WA",Census Tract 18,95993,11539
14000US53033001900,53033001900,"Census Tract 19, King, WA",Census Tract 19,89448,13472
14000US53033002000,53033002000,"Census Tract 20, King, WA",Census Tract 20,121184,15236
14000US53033002100,53033002100,"Census Tract 21, King, WA",Census Tract 21,113750,18437
14000US53033002200,53033002200,"Census Tract 22, King, WA",Census Tract 22,134554,21235
14000US53033002400,53033002400,"Census Tract 24, King, WA",Census Tract 24,126944,16260
14000US53033002500,53033002500,"Census Tract 25, King, WA",Census Tract 25,121635,21542
14000US53033002600,53033002600,"Census Tract 26, King, WA",Census Tract 26,114219,15255
14000US53033002700,53033002700,"Census Tract 27, King, WA",Census Tract 27,145500,26727
14000US53033002800,53033002800,"Census Tract 28, King, WA",Census Tract 28,137127,8427
14000US53033002900,53033002900,"Census Tract 29, King, WA",Census Tract 29,112969,17345
14000US53033003000,53033003000,"Census Tract 30, King, WA",Census Tract 30,105581,6834
14000US53033003100,53033003100,"Census Tract 31, King, WA",Census Tract 31,127787,9935
14000US53033003200,53033003200,"Census Tract 32, King, WA",Census Tract 32,95182,9776
14000US53033003300,53033003300,"Census Tract 33, King, WA",Census Tract 33,127665,19600
14000US53033003400,53033003400,"Census Tract 34, King, WA",Census Tract 34,112650,16591
14000US53033003500,53033003500,"Census Tract 35, King, WA",Census Tract 35,105625,13190
14000US53033003600,53033003600,"Census Tract 36, King, WA",Census Tract 36,83739,8672
14000US53033003800,53033003800,"Census Tract 38, King, WA",Census Tract 38,124286,24442
14000US53033003900,53033003900,"Census Tract 39, King, WA",Census Tract 39,111806,37327
