geoid,GEOID10,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US06037101110,6037101110,"Census Tract 1011.10, Los Angeles, CA",1575,90,843,117,732,127
14000US06037101122,6037101122,"Census Tract 1011.22, Los Angeles, CA",1312,63,1072,108,240,96
14000US06037101210,6037101210,"Census Tract 1012.10, Los Angeles, CA",2297,98,401,146,1896,168
14000US06037101220,6037101220,"Census Tract 1012.20, Los Angeles, CA",1357,57,535,98,822,88
14000US06037101300,6037101300,"Census Tract 1013, Los Angeles, CA",1445,93,1255,105,190,78
14000US06037101400,6037101400,"Census Tract 1014, Los Angeles, CA",1355,129,939,144,416,143
14000US06037102103,6037102103,"Census Tract 1021.03, Los Angeles, CA",692,35,461,75,231,65
14000US06037102104,6037102104,"Census Tract 1021.04, Los Angeles, CA",1230,91,927,114,303,105
14000US06037102105,6037102105,"Census Tract 1021.05, Los Angeles, CA",559,35,302,62,257,59
14000US06037102107,6037102107,"Census Tract 1021.07, Los Angeles, CA",1345,47,957,114,388,102
14000US06037103101,6037103101,"Census Tract 1031.01, Los Angeles, CA",897,56,769,69,128,56
14000US06037103102,6037103102,"Census Tract 1031.02, Los Angeles, CA",1623,76,1195,136,428,130
14000US06037103200,6037103200,"Census Tract 1032, Los Angeles, CA",2226,110,1369,162,857,144
14000US06037103300,6037103300,"Census Tract 1033, Los Angeles, CA",1288,74,1131,89,157,65
14000US06037103400,6037103400,"Census Tract 1034, Los Angeles, CA",2461,103,1562,196,899,183
14000US06037104103,6037104103,"Census Tract 1041.03, Los Angeles, CA",849,47,695,68,154,62
14000US06037104105,6037104105,"Census Tract 1041.05, Los Angeles, CA",1646,77,869,101,777,109
14000US06037104108,6037104108,"Census Tract 1041.08, Los Angeles, CA",1459,46,572,90,887,80
14000US06037104124,6037104124,"Census Tract 1041.24, Los Angeles, CA",1232,79,948,109,284,99
14000US06037104201,6037104201,"Census Tract 1042.01, Los Angeles, CA",941,45,663,84,278,77
14000US06037104203,6037104203,"Census Tract 1042.03, Los Angeles, CA",1169,61,578,97,591,108
14000US06037104204,6037104204,"Census Tract 1042.04, Los Angeles, CA",764,35,496,63,268,63
14000US06037104310,6037104310,"Census Tract 1043.10, Los Angeles, CA",849,60,635,68,214,61
14000US06037104320,6037104320,"Census Tract 1043.20, Los Angeles, CA",1331,55,632,153,699,145
14000US06037104401,6037104401,"Census Tract 1044.01, Los Angeles, CA",664,46,410,58,254,64
14000US06037104403,6037104403,"Census Tract 1044.03, Los Angeles, CA",665,51,415,86,250,92
14000US06037104404,6037104404,"Census Tract 1044.04, Los Angeles, CA",678,39,309,53,369,63
14000US06037104500,6037104500,"Census Tract 1045, Los Angeles, CA",625,62,465,70,160,69
14000US06037104610,6037104610,"Census Tract 1046.10, Los Angeles, CA",703,44,452,53,251,57
14000US06037104620,6037104620,"Census Tract 1046.20, Los Angeles, CA",661,61,406,62,255,65
14000US06037104701,6037104701,"Census Tract 1047.01, Los Angeles, CA",926,48,201,58,725,74
14000US06037104703,6037104703,"Census Tract 1047.03, Los Angeles, CA",572,57,213,57,359,69
14000US06037104704,6037104704,"Census Tract 1047.04, Los Angeles, CA",1199,63,743,104,456,114
14000US06037104810,6037104810,"Census Tract 1048.10, Los Angeles, CA",1095,74,797,130,298,134
14000US06037104821,6037104821,"Census Tract 1048.21, Los Angeles, CA",795,42,422,59,373,64
14000US06037104822,6037104822,"Census Tract 1048.22, Los Angeles, CA",625,42,209,44,416,46
14000US06037106010,6037106010,"Census Tract 1060.10, Los Angeles, CA",959,47,729,75,230,69
14000US06037106020,6037106020,"Census Tract 1060.20, Los Angeles, CA",1451,70,1186,129,265,108
14000US06037106111,6037106111,"Census Tract 1061.11, Los Angeles, CA",1298,81,1151,123,147,91
14000US06037106112,6037106112,"Census Tract 1061.12, Los Angeles, CA",1447,100,1184,136,263,122
14000US06037106113,6037106113,"Census Tract 1061.13, Los Angeles, CA",982,58,784,102,198,92
14000US06037106114,6037106114,"Census Tract 1061.14, Los Angeles, CA",1594,83,703,96,891,103
14000US06037106403,6037106403,"Census Tract 1064.03, Los Angeles, CA",828,76,664,84,164,75
14000US06037106405,6037106405,"Census Tract 1064.05, Los Angeles, CA",1184,92,468,117,716,150
14000US06037106406,6037106406,"Census Tract 1064.06, Los Angeles, CA",1660,121,1268,153,392,125
14000US06037106407,6037106407,"Census Tract 1064.07, Los Angeles, CA",913,39,204,54,709,68
14000US06037106408,6037106408,"Census Tract 1064.08, Los Angeles, CA",956,48,179,59,777,75
14000US06037106510,6037106510,"Census Tract 1065.10, Los Angeles, CA",1635,85,1129,154,506,152
14000US06037106520,6037106520,"Census Tract 1065.20, Los Angeles, CA",1433,71,983,119,450,116
14000US06037106603,6037106603,"Census Tract 1066.03, Los Angeles, CA",990,40,867,55,123,51
14000US06037106604,6037106604,"Census Tract 1066.04, Los Angeles, CA",1230,70,587,100,643,106
14000US06037106641,6037106641,"Census Tract 1066.41, Los Angeles, CA",794,22,717,44,77,37
14000US06037106642,6037106642,"Census Tract 1066.42, Los Angeles, CA",1034,66,933,87,101,66
14000US06037106643,6037106643,"Census Tract 1066.43, Los Angeles, CA",1355,28,1229,79,126,79
14000US06037106645,6037106645,"Census Tract 1066.45, Los Angeles, CA",1135,80,1036,100,99,63
14000US06037106646,6037106646,"Census Tract 1066.46, Los Angeles, CA",967,39,870,50,97,44
14000US06037106648,6037106648,"Census Tract 1066.48, Los Angeles, CA",1084,52,475,79,609,90
14000US06037106649,6037106649,"Census Tract 1066.49, Los Angeles, CA",697,38,531,57,166,48
14000US06037107010,6037107010,"Census Tract 1070.10, Los Angeles, CA",735,44,561,53,174,53
14000US06037107020,6037107020,"Census Tract 1070.20, Los Angeles, CA",1229,83,904,114,325,116
14000US06037108101,6037108101,"Census Tract 1081.01, Los Angeles, CA",777,38,645,56,132,52
14000US06037108102,6037108102,"Census Tract 1081.02, Los Angeles, CA",1217,53,1001,114,216,107
14000US06037108103,6037108103,"Census Tract 1081.03, Los Angeles, CA",1016,73,927,84,89,60
14000US06037108104,6037108104,"Census Tract 1081.04, Los Angeles, CA",570,37,480,41,90,49
14000US06037108201,6037108201,"Census Tract 1082.01, Los Angeles, CA",1847,83,1497,132,350,114
14000US06037108202,6037108202,"Census Tract 1082.02, Los Angeles, CA",2723,138,1897,149,826,150
14000US06037109100,6037109100,"Census Tract 1091, Los Angeles, CA",772,42,576,54,196,51
14000US06037109200,6037109200,"Census Tract 1092, Los Angeles, CA",944,79,748,89,196,93
14000US06037109300,6037109300,"Census Tract 1093, Los Angeles, CA",920,43,767,61,153,63
14000US06037109400,6037109400,"Census Tract 1094, Los Angeles, CA",1113,41,794,109,319,100
14000US06037109500,6037109500,"Census Tract 1095, Los Angeles, CA",1038,76,590,107,448,129
14000US06037109601,6037109601,"Census Tract 1096.01, Los Angeles, CA",1281,81,1085,93,196,87
14000US06037109603,6037109603,"Census Tract 1096.03, Los Angeles, CA",1314,78,736,128,578,132
14000US06037109604,6037109604,"Census Tract 1096.04, Los Angeles, CA",918,44,734,70,184,70
14000US06037109700,6037109700,"Census Tract 1097, Los Angeles, CA",1366,67,1147,105,219,97
14000US06037109800,6037109800,"Census Tract 1098, Los Angeles, CA",1451,66,1066,116,385,114
14000US06037111100,6037111100,"Census Tract 1111, Los Angeles, CA",941,43,735,59,206,48
14000US06037111201,6037111201,"Census Tract 1112.01, Los Angeles, CA",1121,41,987,78,134,71
14000US06037111202,6037111202,"Census Tract 1112.02, Los Angeles, CA",1763,113,1243,127,520,138
14000US06037111204,6037111204,"Census Tract 1112.04, Los Angeles, CA",1956,55,1878,66,78,47
14000US06037111205,6037111205,"Census Tract 1112.05, Los Angeles, CA",1327,51,706,110,621,117
14000US06037111206,6037111206,"Census Tract 1112.06, Los Angeles, CA",1503,67,1412,96,91,75
14000US06037111301,6037111301,"Census Tract 1113.01, Los Angeles, CA",2773,141,892,130,1881,161
14000US06037111302,6037111302,"Census Tract 1113.02, Los Angeles, CA",1801,79,906,119,895,106
14000US06037111400,6037111400,"Census Tract 1114, Los Angeles, CA",2888,100,1087,169,1801,181
14000US06037113101,6037113101,"Census Tract 1131.01, Los Angeles, CA",1112,40,898,75,214,75
14000US06037113102,6037113102,"Census Tract 1131.02, Los Angeles, CA",981,34,937,42,44,30
14000US06037113211,6037113211,"Census Tract 1132.11, Los Angeles, CA",1678,52,1382,102,296,96
14000US06037113212,6037113212,"Census Tract 1132.12, Los Angeles, CA",1084,58,626,91,458,99
14000US06037113213,6037113213,"Census Tract 1132.13, Los Angeles, CA",1695,54,1026,120,669,121
14000US06037113231,6037113231,"Census Tract 1132.31, Los Angeles, CA",816,40,665,53,151,57
14000US06037113232,6037113232,"Census Tract 1132.32, Los Angeles, CA",1399,61,1202,107,197,95
14000US06037113233,6037113233,"Census Tract 1132.33, Los Angeles, CA",2534,125,622,140,1912,173
14000US06037113234,6037113234,"Census Tract 1132.34, Los Angeles, CA",1508,107,746,96,762,113
14000US06037113235,6037113235,"Census Tract 1132.35, Los Angeles, CA",711,50,473,79,238,73
14000US06037113237,6037113237,"Census Tract 1132.37, Los Angeles, CA",1458,89,940,85,518,68
