,GEOID10,med_hh_inc,total,own_occu
0,06083980100,,,
1,06037599100,,82.0,18.0
2,06037599000,74028.0,1471.0,405.0
3,06037670416,97788.0,1661.0,1030.0
4,06037670602,155688.0,2579.0,2156.0
5,06037296210,40145.0,1007.0,215.0
6,06037296220,30020.0,1775.0,127.0
7,06037297110,40000.0,1558.0,235.0
8,06037297120,49229.0,1059.0,217.0
9,06037297601,55246.0,1213.0,209.0
10,06037980031,,24.0,0.0
11,06037980033,,16.0,0.0
12,06037295103,124663.0,1997.0,1654.0
13,06037296300,80718.0,2054.0,1253.0
14,06037296401,92571.0,1268.0,968.0
15,06037296402,108929.0,1116.0,865.0
16,06037296500,35870.0,1306.0,478.0
17,06037296600,40607.0,1948.0,444.0
18,06037296901,40913.0,1635.0,221.0
19,06037296902,52585.0,1678.0,336.0
20,06037297000,110699.0,2337.0,1406.0
21,06037297201,60574.0,1467.0,306.0
22,06037297202,70767.0,1399.0,611.0
23,06037297300,102143.0,772.0,335.0
24,06037297400,82955.0,1506.0,1276.0
25,06037297500,88229.0,2092.0,1413.0
26,06037297602,64873.0,1712.0,700.0
27,06037609900,71071.0,582.0,261.0
28,06037670500,250001.0,577.0,550.0
29,06037670702,200292.0,2021.0,1899.0
30,06111004600,,,
31,06111004704,,,
32,06111004715,,,
33,06111005600,,,
34,06111005700,,,
35,06111005801,,,
36,06111005901,,,
37,06111005908,,,
38,06111005910,,,
39,06111005911,,,
40,06111007300,,,
41,06111004710,,,
42,06111004717,,,
43,06111001204,,,
44,06111000902,,,
45,06111004902,,,
46,06111005002,,,
47,06111005203,,,
48,06111005204,,,
49,06111005205,,,
50,06111005401,,,
51,06111005403,,,
52,06111005502,,,
53,06111005503,,,
54,06111005504,,,
55,06111001301,,,
56,06111004716,,,
57,06111004901,,,
58,06111005003,,,
59,06111000500,,,
60,06111000600,,,
61,06111000701,,,
62,06111000702,,,
63,06111000800,,,
64,06111001302,,,
65,06111005100,,,
66,06111001201,,,
67,06111005202,,,
68,06111005303,,,
69,06111005304,,,
70,06111005305,,,
71,06111005306,,,
72,06111005404,,,
73,06111005802,,,
74,06111005909,,,
75,06111006000,,,
76,06111006100,,,
77,06111006200,,,
78,06111006301,,,
79,06111006302,,,
80,06111006600,,,
81,06111006700,,,
82,06111006800,,,
83,06111006900,,,
84,06111007000,,,
85,06111007607,,,
86,06111007609,,,
87,06111007610,,,
88,06111007611,,,
89,06111007612,,,
90,06111000303,,,
91,06111007606,,,
92,06111000302,,,
93,06111000304,,,
94,06111000400,,,
95,06111000903,,,
96,06037800406,145260.0,981.0,711.0
97,06037800408,149026.0,3133.0,2685.0
98,06037800410,116190.0,592.0,458.0
99,06037800324,143750.0,2441.0,2160.0
100,06037800325,133688.0,1507.0,1227.0
101,06037800326,133942.0,1832.0,1536.0
102,06037800327,92740.0,2190.0,1226.0
103,06037800328,105625.0,975.0,498.0
104,06037800329,94250.0,2591.0,1628.0
105,06037800330,134250.0,327.0,277.0
106,06037800331,131375.0,217.0,158.0
107,06037800332,139145.0,2265.0,2051.0
108,06111005906,,,
109,06111005907,,,
110,06111007100,,,
111,06111007403,,,
112,06037262601,212386.0,1349.0,1200.0
113,06037262604,200625.0,2417.0,1978.0
114,06037262704,122083.0,1609.0,995.0
115,06037262706,188409.0,1314.0,985.0
116,06037800504,168235.0,1150.0,734.0
117,06037800506,169125.0,1384.0,1082.0
118,06037137201,77146.0,2284.0,1069.0
119,06037137301,156250.0,765.0,708.0
120,06037137302,145286.0,1602.0,1475.0
121,06037137401,125781.0,1612.0,1109.0
122,06037137402,115978.0,2073.0,1555.0
123,06037800101,142159.0,1938.0,1764.0
124,06037800102,130703.0,2688.0,1946.0
125,06037800202,162048.0,2049.0,1785.0
126,06037800203,146543.0,1953.0,1387.0
127,06037800204,138306.0,1726.0,1328.0
128,06037930401,,,
129,06037137103,89344.0,2395.0,1274.0
130,06037137104,106111.0,1012.0,821.0
131,06037137501,92156.0,1932.0,755.0
132,06037137502,99688.0,1813.0,1178.0
133,06037137504,143875.0,699.0,662.0
134,06037138000,127983.0,1799.0,1472.0
135,06037139302,46743.0,1976.0,343.0
136,06037139303,54470.0,1972.0,680.0
137,06037139401,57440.0,1313.0,301.0
138,06037139402,137578.0,959.0,806.0
139,06037139703,124830.0,965.0,798.0
140,06037139801,157557.0,1291.0,1198.0
141,06037139802,153523.0,1393.0,1300.0
142,06037980019,231250.0,65.0,53.0
143,06037620602,129417.0,1931.0,1533.0
144,06037620702,155069.0,2551.0,1824.0
145,06037621102,179141.0,1199.0,818.0
146,06037621104,139265.0,3300.0,1240.0
147,06037621201,120022.0,2489.0,1422.0
148,06037621204,109671.0,1815.0,566.0
149,06037621301,113500.0,2750.0,1440.0
150,06037621324,92710.0,2049.0,658.0
151,06037621326,102057.0,1726.0,419.0
152,06037621400,107621.0,1877.0,1004.0
153,06037650502,118558.0,1478.0,1018.0
154,06037650602,80379.0,2726.0,565.0
155,06037650603,87600.0,1492.0,878.0
156,06037650702,127429.0,1550.0,1352.0
157,06037651201,139643.0,1634.0,1498.0
158,06037651222,89207.0,2329.0,691.0
159,06037651302,124844.0,2287.0,1715.0
160,06037651304,86690.0,2327.0,1152.0
161,06037670324,214681.0,1852.0,1600.0
162,06037670326,158125.0,1338.0,1197.0
163,06037670328,193262.0,1719.0,1435.0
164,06037670403,153667.0,992.0,892.0
165,06037670405,98533.0,1127.0,885.0
166,06037670406,186667.0,660.0,629.0
167,06037670407,94963.0,2345.0,1181.0
168,06037670411,162614.0,1539.0,1370.0
169,06037670413,143721.0,1710.0,1359.0
170,06037276000,144688.0,2519.0,1753.0
171,06037276400,158056.0,1488.0,1265.0
172,06037276500,91667.0,710.0,436.0
