,GEOID10,med_hh_inc,total,own_occu
0,53033002500,121635.0,1333,886
1,53033002600,114219.0,1989,1283
2,53033005600,167622.0,2850,2616
3,53033006800,128664.0,1487,679
4,53033006000,114907.0,2758,1281
5,53033005900,115129.0,2796,1589
6,53033005700,118750.0,2864,1974
7,53033004900,101203.0,3711,930
8,53033005801,98281.0,2891,949
9,53033004800,121492.0,2266,1235
10,53033004700,96745.0,6126,1804
11,53033003200,95182.0,4526,2138
12,53033003500,105625.0,1922,1111
13,53033003400,112650.0,1571,940
14,53033003300,127665.0,3656,1616
15,53033002800,137127.0,2262,1281
16,53033002900,112969.0,2018,1375
17,53033003000,105581.0,2708,1939
18,53033003100,127787.0,2793,2260
19,53033001701,75162.0,2155,867
20,53033001702,93679.0,2275,1340
21,53033001600,143125.0,1898,1540
22,53033001500,128059.0,1123,844
23,53033000200,77463.0,3757,2059
24,53033002700,145500.0,2484,1745
25,53033002200,134554.0,2387,1976
26,53033002400,126944.0,1326,937
27,53033002000,121184.0,1620,1123
28,53033002100,113750.0,1791,1131
29,53033001900,89448.0,2355,1304
30,53033001800,95993.0,2207,1054
31,53033000900,147750.0,898,736
32,53033001300,72850.0,2353,903
33,53033001100,95573.0,1053,794
34,53033001000,110956.0,753,505
35,53033001200,51807.0,3763,953
36,53033000800,102500.0,1126,823
37,53033000600,77269.0,3374,1948
38,53033000700,64310.0,2310,1092
39,53033000100,55143.0,3970,1055
40,53033000300,100917.0,1172,824
41,53033004100,178935.0,2962,2085
42,53033005200,47883.0,3229,556
43,53033005100,119625.0,1709,1072
44,53033005301,26413.0,3294,16
45,53033005000,98698.0,2123,513
46,53033004200,128966.0,3364,2439
47,53033004301,95764.0,1503,823
48,53033004302,34461.0,1604,94
49,53033004000,85707.0,1403,923
50,53033004400,64026.0,2881,702
51,53033004500,113669.0,1037,644
52,53033004600,136528.0,1405,943
53,53033003600,83739.0,4264,1319
54,53033003900,111806.0,1211,880
55,53033003800,124286.0,930,657
56,53033001400,93948.0,2425,1469
57,53033000402,72150.0,2398,1015
58,53033000401,32877.0,4019,1176
59,53033007800,190804.0,2329,1812
60,53033009200,20573.0,1769,113
61,53033008800,134107.0,1729,1060
62,53033008700,96630.0,1826,756
63,53033008600,60349.0,2480,512
64,53033008500,62933.0,1850,175
65,53033008100,82892.0,2970,654
66,53033008200,94039.0,2931,474
67,53033008300,68239.0,2130,470
68,53033008400,69409.0,3484,486
69,53033007900,81834.0,3659,1079
70,53033007500,67860.0,6362,1052
71,53033007700,107736.0,2570,1391
72,53033007300,92656.0,5748,492
73,53033007402,53312.0,3810,645
74,53033007600,88525.0,2361,769
75,53033007401,78632.0,3912,770
76,53033006300,129609.0,2695,1750
77,53033006200,208636.0,1668,1415
78,53033006500,101847.0,2549,1160
79,53033006600,114561.0,2341,535
80,53033006400,166125.0,1389,987
81,53033006700,118590.0,5174,1410
82,53033006100,115586.0,3034,1371
83,53033005400,110956.0,3457,1373
84,53033005302,17188.0,149,0
85,53033011700,82869.0,1729,1244
86,53033011800,62782.0,2935,1567
87,53033026400,57965.0,2406,1005
88,53033026500,39341.0,1529,616
89,53033011002,48250.0,1390,788
90,53033011001,37188.0,1748,659
91,53033011102,97099.0,1658,980
92,53033011101,55170.0,1985,979
93,53033010200,114224.0,2026,1657
94,53033010300,89500.0,2928,1420
95,53033010401,85227.0,1440,1053
96,53033010402,91429.0,1716,1172
97,53033009300,92347.0,1582,645
98,53033010001,58310.0,1669,732
99,53033010100,100890.0,3236,1908
100,53033009500,104028.0,2810,1822
101,53033010002,73180.0,1947,969
102,53033009400,73642.0,2955,1261
103,53033008900,110313.0,2505,1481
104,53033009000,43406.0,1903,391
105,53033009100,40938.0,1626,93
106,53033012100,127955.0,1180,1032
107,53033012000,110192.0,1554,1238
108,53033011402,54151.0,1967,872
109,53033011600,118599.0,3061,2295
110,53033011300,56402.0,2986,1355
111,53033011500,111528.0,2005,1537
112,53033011401,78806.0,1803,876
113,53033010800,92692.0,1900,1407
114,53033010701,72500.0,1596,728
115,53033010600,109058.0,3822,2535
116,53033010702,46792.0,1625,656
117,53033010500,97196.0,4833,1932
118,53033009900,90024.0,3085,1425
119,53033009702,127727.0,2336,1872
120,53033009701,126623.0,3034,1722
121,53033009800,118429.0,3233,2313
122,53033009600,132889.0,2837,1752
123,53033008001,127607.0,5091,1620
124,53033008002,72155.0,2602,461
125,53033007200,117908.0,6915,1106
126,53033007100,86810.0,3380,694
127,53033005802,77424.0,3011,1150
128,53033007000,69375.0,5189,1524
129,53033006900,130524.0,2265,1197
130,53033026001,102586.0,2185,1857
131,53033000500,148906.0,1315,1215
132,53033010900,64034.0,603,291
133,53033011200,53807.0,1431,542
134,53033011900,101028.0,2547,2086
135,53033990100,,0,0
